#FID	IID	Population	Group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
0	ukr146	UKR(150)	UKR(150)	-0.00148993	0.0359399	0.00955393	0.00264545	0.00387398	0.0159123	0.0237231	-0.0352203	-0.0435226	-0.0223256
0	ukr147_2	UKR(150)	UKR(150)	-0.0149181	0.0447589	0.0187984	-0.000859942	0.0055592	0.0123281	-0.00610926	-0.00382651	-0.0148272	0.000659688
0	ukr148	UKR(150)	UKR(150)	-0.00844017	0.037614	0.0163488	0.00459133	-0.00825861	0.00096431	0.00610018	-0.0149545	0.0180867	-0.00387491
0	ukr149	UKR(150)	UKR(150)	-0.0181323	0.0448002	0.00978232	-0.0108381	-0.00487005	0.0158493	-0.00220776	0.00495871	0.0409349	-0.0219125
0	ukr15	UKR(150)	UKR(150)	-0.0030104	0.0363249	0.0137007	0.00121143	-0.00775652	0.00270403	-0.0106712	-0.00418631	0.00301585	-0.00531417
0	ukr150	UKR(150)	UKR(150)	-0.00641935	0.0477592	0.0161645	0.0105413	-0.00332583	0.0239092	0.00302267	0.0031645	-0.00257562	0.0106307
0	ukr151	UKR(150)	UKR(150)	-0.0124368	0.145392	-0.554627	0.0286858	-0.0170931	-0.00228503	-0.0100789	-0.0134329	-0.0197048	-0.00248845
0	ukr152_2	UKR(150)	UKR(150)	-0.0125116	0.145385	-0.557293	0.0304216	-0.0178729	0.00130947	-0.00250675	-0.00505193	-0.0124507	-0.00398209
0	ukr16	UKR(150)	UKR(150)	-0.0109426	0.0480003	0.0201766	-0.00167681	0.0107298	0.00544731	0.0163409	-0.014063	-0.0311723	0.0224112
0	ukr17	UKR(150)	UKR(150)	0.00231367	0.0495263	0.0163398	0.0174779	-0.00394	0.0273793	0.0066161	0.0195625	0.0279373	-0.0268905
0	ukr18	UKR(150)	UKR(150)	-0.00546916	0.0312625	0.0263577	0.00133046	-0.00893604	0.0357569	0.0176278	-0.038557	-0.0231079	-0.0268489
0	ukr19	UKR(150)	UKR(150)	-0.0111929	0.0391886	0.0110642	0.00360613	-0.0171572	0.00219196	0.0248183	0.00140498	-0.0149923	-0.00995526
0	ukr2	UKR(150)	UKR(150)	-0.00557915	0.0400633	0.00261979	0.0121638	0.00622199	0.00789245	-0.0059107	-0.00827495	0.00495477	0.00297288
0	ukr20	UKR(150)	UKR(150)	-0.00780634	0.0433031	0.0186259	-0.0073902	-0.0049715	0.0159255	-0.0067417	0.0273875	0.00923188	-0.0173811
0	ukr21_2	UKR(150)	UKR(150)	-0.00500157	0.041574	0.000978073	0.00869762	-0.000950796	0.0163843	0.0250397	-0.0117223	-0.0621519	-0.0248294
0	ukr22	UKR(150)	UKR(150)	-0.00495364	0.0386272	0.0105655	-0.0135008	0.0111575	0.0141375	0.0111297	-0.00245991	-0.0460948	-0.0218661
0	ukr23	UKR(150)	UKR(150)	-0.0104912	0.0414283	0.00810034	-0.00170367	-0.0150363	0.0252899	-0.00267213	-0.017631	0.018709	0.0162165
0	ukr24	UKR(150)	UKR(150)	-0.00304644	0.0429373	0.00787989	0.0064272	0.0071111	0.0228393	0.00283243	-0.00187276	0.0240487	0.0123433
0	ukr25	UKR(150)	UKR(150)	-0.00345628	0.0489652	0.00853776	0.000147129	0.00187952	0.0202704	0.0039747	0.00752143	0.0589311	0.00658262
0	ukr26	UKR(150)	UKR(150)	-0.0107626	0.0370996	0.0244644	0.00728172	0.0143003	0.00786084	-0.000835167	0.00830988	0.0453154	-0.0103293
0	ukr27	UKR(150)	UKR(150)	-0.0177816	0.044075	0.013348	-0.0095111	-0.0141872	0.0202756	0.0120514	0.00985772	-0.0257882	-0.024987
0	ukr28	UKR(150)	UKR(150)	-0.0084141	0.048209	0.00880593	0.00709444	-0.0121192	0.0128892	-0.00396383	0.00422687	0.0228196	-0.0357689
0	ukr29	UKR(150)	UKR(150)	-0.00457253	0.043177	0.00463721	-0.00362595	0.0116303	-0.00205119	0.00621061	0.0200099	0.0388797	-0.0116515
0	ukr3	UKR(150)	UKR(150)	-0.00583883	0.0386381	0.0191246	0.0157189	0.00215014	0.0152784	0.00560084	-0.0131169	0.0195297	-0.00695273
0	ukr30	UKR(150)	UKR(150)	-0.00846128	0.0486148	0.0127322	0.0107541	0.00608001	0.0340255	0.00615369	0.0102775	0.0492514	0.00646626
0	ukr31	UKR(150)	UKR(150)	-0.0116444	0.0446363	0.00974755	-0.00197644	-0.00220365	0.00318312	0.0138634	0.00513525	0.0127001	-0.00538432
0	ukr32	UKR(150)	UKR(150)	-0.00977971	0.0453331	0.0146307	-0.0092513	0.00298647	0.0271952	0.00428474	0.00923758	-0.000714819	0.0121977
0	ukr33	UKR(150)	UKR(150)	-0.00797983	0.0415411	0.00991229	0.00804628	-0.0176951	0.0376492	-0.00924585	-0.0166639	0.0290216	-0.0629123
0	ukr34	UKR(150)	UKR(150)	-0.0025994	0.0485302	0.0194262	0.0240024	0.0032281	0.00766327	0.00560047	-0.0165368	-0.0201	-0.0146553
0	ukr35	UKR(150)	UKR(150)	-0.00363493	0.0428369	0.0215526	0.00293969	-0.011751	0.0153423	0.00913803	0.0363027	0.0585194	-0.0184719
0	ukr36	UKR(150)	UKR(150)	-0.00909411	0.0361987	0.0161378	0.00343537	0.00718322	0.00652543	0.0180805	-0.0135226	0.00977926	-0.0200565
0	ukr37	UKR(150)	UKR(150)	-0.00680112	0.0383884	0.000264935	-0.00840078	0.00298242	0.0100158	-0.0102867	0.000720488	0.00894166	-0.00776214
0	ukr38	UKR(150)	UKR(150)	-0.0101013	0.0366128	0.00338637	0.00502846	0.00175738	0.0225199	0.0185137	-0.0098004	-0.0133066	-0.0000668933
0	ukr39	UKR(150)	UKR(150)	-0.0080377	0.0517588	0.0154162	-0.0166843	0.00197428	0.0281481	-0.0164141	-0.014305	-0.00861325	0.0133805
0	ukr4	UKR(150)	UKR(150)	-0.00936984	0.0374422	0.0137363	-0.00543342	0.0197336	0.00687334	0.0061908	-0.0128428	0.0309367	0.0108059
0	ukr40_2	UKR(150)	UKR(150)	-0.00729787	0.0423223	0.0108294	0.00217918	0.0046174	0.00542942	0.0141722	0.00372036	0.0150312	-0.0114912
0	ukr41_2	UKR(150)	UKR(150)	-0.0114778	0.0424521	0.0208576	0.0146266	-0.00372794	0.00911222	-0.00934836	-0.0177793	-0.0246456	-0.0156549
0	ukr42	UKR(150)	UKR(150)	-0.00349965	0.0532195	0.00514913	-0.00102539	0.00632713	0.0125222	0.0228912	-0.00415415	-0.0138148	-0.0427908
0	ukr43_3	UKR(150)	UKR(150)	-0.00361642	0.0394993	0.0127513	0.00329683	-0.0116949	0.0314507	0.0084783	-0.0175082	0.0086305	0.0172086
0	ukr44_2	UKR(150)	UKR(150)	0.00793332	0.0300742	0.00272577	0.0128032	0.00596744	-0.000604207	0.0112305	-0.0309058	0.0149739	-0.000127628
0	ukr45	UKR(150)	UKR(150)	-0.00860354	0.0456331	0.00268028	0.0147191	0.00696748	0.0330818	-0.00831864	0.149593	0.355412	0.230947
0	ukr46	UKR(150)	UKR(150)	-0.0067732	0.0525732	0.00293333	0.0193112	0.0110299	0.0355744	-0.0111099	0.151752	0.349894	0.213848
0	ukr47	UKR(150)	UKR(150)	-0.00158112	0.0245281	0.00738778	-0.00510511	-0.0104849	0.015476	0.0382548	-0.0055959	0.00787064	0.00988098
0	ukr48	UKR(150)	UKR(150)	-0.00746719	0.045747	0.0208679	-0.00333286	-0.0125926	-0.00446938	0.00427892	0.00233388	0.0316195	-0.00875453
0	ukr49	UKR(150)	UKR(150)	-0.00551714	0.0482523	0.00908639	-0.00204759	0.0129403	0.011684	0.0091488	-0.0216948	0.0106542	-0.0124201
0	ukr5	UKR(150)	UKR(150)	-0.00782528	0.0460169	0.0189074	0.00335742	0.00185281	0.00318273	-0.0114908	-0.0253165	-0.0150442	-0.0052618
0	ukr50	UKR(150)	UKR(150)	-0.00658251	0.0386929	0.00918853	0.00790328	0.00515112	0.0238318	0.0147515	0.00202436	0.0400686	-0.000757511
0	ukr51	UKR(150)	UKR(150)	-0.00486639	0.0476557	0.0173006	-0.00273576	0.00674915	0.0220103	-0.00487655	-0.00279885	0.0382226	-0.00331939
0	ukr52	UKR(150)	UKR(150)	-0.00904847	0.0499673	0.00887442	0.00566003	0.016894	0.0234947	0.0160241	-0.00899655	0.0431044	-0.033005
0	ukr53	UKR(150)	UKR(150)	-0.0148076	0.0546447	0.00946524	-0.00451428	0.00937086	0.00868505	0.00418154	-0.0268218	0.0156147	-0.00547777
0	ukr54	UKR(150)	UKR(150)	-0.0107129	0.0547943	0.00973146	-0.00696294	0.00854005	0.0162687	0.0134761	0.021378	0.0209141	0.0256266
0	ukr55	UKR(150)	UKR(150)	-0.00208681	0.0370588	0.0217012	0.013996	0.00680703	0.0245283	0.00863799	-0.00474615	0.00764008	0.00689514
0	ukr56	UKR(150)	UKR(150)	-0.00486263	0.0505822	0.0146545	0.00271619	-0.032452	0.0119445	-0.00260517	-0.0212804	0.0315209	-0.0359257
0	ukr57	UKR(150)	UKR(150)	-0.00950758	0.0394702	0.0118675	-0.0000633621	0.0110392	0.0163919	0.00771781	0.0139855	0.0196788	-0.0208953
0	ukr58	UKR(150)	UKR(150)	-0.0102704	0.0492929	0.0144535	-0.00687843	-0.00497554	0.0191616	0.0261437	0.0231115	0.0182125	-0.00889967
0	ukr59	UKR(150)	UKR(150)	-0.00428693	0.0481695	0.0121247	-0.00163613	-0.000117976	0.022508	-0.009954	0.0194923	-0.0104191	-0.0187525
0	ukr6	UKR(150)	UKR(150)	-0.00419102	0.0492321	0.00269263	0.00363199	0.000592415	-0.00366047	0.0135501	-0.0196654	0.000614923	0.0220644
0	ukr60	UKR(150)	UKR(150)	-0.00772353	0.0442095	0.0176462	-0.0092301	0.00311722	0.0262812	0.0228761	0.0533891	0.0382167	0.00178908
0	ukr61	UKR(150)	UKR(150)	-0.00731128	0.0479696	0.0119608	-0.00192547	-0.0170952	0.0139367	0.0283134	-0.0138878	0.00870261	-0.00521777
0	ukr62	UKR(150)	UKR(150)	-0.00859901	0.0410041	0.0107085	-0.00274612	-0.0206012	-0.00178959	-0.00327932	0.00033847	-0.0419396	-0.0361066
0	ukr63	UKR(150)	UKR(150)	-0.00880801	0.142231	-0.534289	0.03385	-0.0170057	-0.000729494	-0.0100924	-0.00662915	-0.0133341	-0.00143803
0	ukr64	UKR(150)	UKR(150)	-0.010472	0.0568348	0.0181649	-0.00146239	-0.00657667	0.0260475	0.00655605	0.0032283	-0.0202641	0.00443214
0	ukr65	UKR(150)	UKR(150)	0.00240613	0.0219033	0.0107429	0.0148844	0.00180622	-0.021474	0.00728157	-0.0273914	-0.0484868	0.025581
0	ukr66	UKR(150)	UKR(150)	-0.00747776	0.0405288	0.019114	-0.00150785	0.00766583	0.0138958	-0.00404404	0.00817561	-0.0273431	0.00819883
0	ukr67_2	UKR(150)	UKR(150)	-0.0114452	0.0485768	0.00918574	0.00499079	0.00548417	0.00270766	0.0191718	0.00827621	0.0254593	-0.0201432
0	ukr68	UKR(150)	UKR(150)	-0.00845197	0.0457139	0.0135027	0.00226392	0.0024479	0.0120522	0.0174829	-0.0100123	0.0189448	0.00385573
0	ukr69_1	UKR(150)	UKR(150)	-0.00314406	0.0381302	0.0124824	0.00951868	-0.0334522	0.00831598	0.0114849	-0.00266997	0.0100062	-0.0420489
0	ukr70	UKR(150)	UKR(150)	-0.00775746	0.0414123	0.0166598	0.00987415	0.00949389	0.0132819	0.0028593	-0.00789604	0.0245474	-0.0299842
0	ukr71	UKR(150)	UKR(150)	-0.00751143	0.063258	0.0227364	0.00355764	-0.0131175	0.0173181	-0.0119733	0.0993391	0.0480803	-0.534328
0	ukr72_1	UKR(150)	UKR(150)	-0.00953598	0.0509534	0.00096649	-0.0112443	-0.0207145	0.0237	0.0149209	-0.0144362	0.017575	-0.00628361
0	ukr73	UKR(150)	UKR(150)	-0.0021842	0.0262582	0.0120686	-0.0106207	-0.0168038	-0.00883825	0.000326151	-0.019125	0.0182361	-0.0227167
0	ukr74	UKR(150)	UKR(150)	-0.00287953	0.0355362	0.018343	0.0167926	0.00952059	0.0117187	-0.0209259	-0.0095512	0.0387581	0.00509166
0	ukr75	UKR(150)	UKR(150)	-0.0114276	0.0632777	0.0416229	0.0340515	-0.611745	-0.121869	-0.24387	0.0406005	0.0161721	0.0390603
0	ukr76_2	UKR(150)	UKR(150)	-0.00749847	0.0456387	0.00859791	0.00213094	-0.0000530513	-0.00469074	0.00317526	0.0101655	0.00172233	-0.0109165
0	ukr77_3	UKR(150)	UKR(150)	0.00605973	0.0350381	0.00154919	0.0111635	0.00531101	0.0193039	0.0143496	0.0116557	0.0191415	0.000951786
0	ukr78_2	UKR(150)	UKR(150)	-0.0100855	0.0407894	0.00632069	-0.00244473	0.00335282	-0.00844687	0.0423272	0.0166984	0.0385729	0.00483245
0	ukr79	UKR(150)	UKR(150)	-0.00702643	0.0399887	0.0174821	0.000357606	0.0125641	0.018797	-0.00451597	0.00705641	0.0133609	-0.0108453
0	ukr7_2	UKR(150)	UKR(150)	-0.0103514	0.0416447	0.0140423	-0.00503802	-0.00626219	0.00961963	0.00520487	0.00347511	-0.00826781	-0.0263343
0	ukr8	UKR(150)	UKR(150)	-0.00796868	0.0424312	0.0172881	-0.00651001	-0.0192992	0.012093	-0.00719892	-0.0264164	-0.0439282	-0.0108098
0	ukr80_2	UKR(150)	UKR(150)	-0.00717552	0.0560065	0.0161569	0.00221168	-0.010181	0.0180797	-0.00731885	0.0114054	0.0424676	-0.0123802
0	ukr81_3	UKR(150)	UKR(150)	-0.00420738	0.0425172	0.00544247	0.00299568	0.0017557	0.0179346	0.00975222	-0.00197206	0.0391462	0.00281613
0	ukr82	UKR(150)	UKR(150)	-0.00173172	0.0384245	0.0103091	0.00179682	-0.000820415	0.00946604	0.0156622	-0.0234475	-0.0586278	-0.0300307
0	ukr83_4	UKR(150)	UKR(150)	-0.00513881	0.0424388	0.0138655	-0.00187485	0.0216406	0.0294842	0.016749	0.0128028	0.0607011	0.0283903
0	ukr84	UKR(150)	UKR(150)	-0.00120582	0.0425926	0.00840535	-0.00321344	-0.0159006	0.0274248	0.0161464	-0.0108867	-0.0358376	-0.0505426
0	ukr85	UKR(150)	UKR(150)	-0.011799	0.0516252	0.0138869	-0.00921653	0.00884041	0.00190664	0.00462902	0.00398863	0.0691565	0.00333054
0	ukr86	UKR(150)	UKR(150)	0.000366432	0.0458862	0.0169527	0.00293042	0.00877133	0.0204316	0.00358143	0.0440832	0.0357876	-0.0207324
0	ukr87	UKR(150)	UKR(150)	-0.00272304	0.0370228	0.00624706	0.00460616	-0.0201563	0.0157468	0.00157736	0.0120142	0.000488854	-0.019359
0	ukr88	UKR(150)	UKR(150)	-0.00536224	0.0477062	0.0209404	-0.000239797	-0.0214601	0.000600472	-0.00373588	0.0140904	-0.0121125	0.00506024
0	ukr89	UKR(150)	UKR(150)	-0.00933445	0.0394716	0.0241281	0.00189534	-0.0226499	0.0137022	0.0185975	-0.00516394	-0.0112931	-0.000739164
0	ukr9	UKR(150)	UKR(150)	-0.00659174	0.0457689	0.00822596	-0.00507429	-0.00364784	0.0300784	0.00795791	-0.00368801	-0.03278	0.0311647
0	ukr90	UKR(150)	UKR(150)	-0.00756478	0.0385526	0.00869887	-0.0126375	0.00174442	0.0255685	0.0160337	0.00946232	0.00588116	-0.0335307
0	ukr91	UKR(150)	UKR(150)	-0.00523106	0.0482089	0.0139807	0.00955787	0.0108636	0.0106124	-0.00166859	0.0475795	0.0726286	-0.0320689
0	ukr92_1	UKR(150)	UKR(150)	-0.012954	0.0453035	0.0201281	-0.0070979	-0.0190393	0.0242325	-0.0199808	0.00324522	0.0480639	-0.0312759
0	ukr93	UKR(150)	UKR(150)	-0.00770513	0.0441411	0.0102466	-0.000416518	-0.0246664	0.0148634	0.0215583	0.0166638	0.033901	-0.0103403
0	ukr94_2	UKR(150)	UKR(150)	-0.00839221	0.045577	0.0152104	0.00349616	0.00552528	0.0222848	0.010479	-0.00595558	0.00483984	-0.00536472
0	ukr95_1	UKR(150)	UKR(150)	-0.0031983	0.0392817	0.0154932	0.0147134	-0.00541977	0.015063	0.0170802	-0.0291887	0.00106747	-0.0134881
0	ukr96	UKR(150)	UKR(150)	-0.0102186	0.0456689	0.0100885	0.00487578	0.000772929	0.0243414	0.0144746	0.0385219	0.0149597	-0.0119594
0	ukr97_2	UKR(150)	UKR(150)	-0.0100856	0.0514638	0.0111421	-0.0117398	0.0113258	0.0219886	-0.00461507	0.027579	0.0517303	-0.00220235
0	ukr98_1	UKR(150)	UKR(150)	0.0215868	0.0320605	0.0045744	0.171492	0.0660472	-0.332472	0.0745521	0.0534047	0.0619468	0.0401242
0	ukr99_3	UKR(150)	UKR(150)	-0.00842283	0.0414267	0.00590959	-0.015355	0.00962825	0.0276403	0.0110724	0.00891245	0.0398252	-0.0313827
0	EG600001	UKR	UKR	-0.00170445	0.0316863	0.0115054	-0.000305972	-0.00207615	0.0115144	0.00253321	-0.00580944	-0.0106657	0.0350483
0	EG600002	UKR	UKR	-0.00256424	0.0462697	0.00670117	0.0125094	0.00274616	0.00924941	0.0180672	-0.0261497	-0.00650967	-0.0241283
0	EG600003	UKR	UKR	-0.0124483	0.0474724	0.0234602	0.000196742	-0.00840154	0.0175327	0.0125991	-0.0213956	0.0133385	0.0276412
0	EG600004	UKR	UKR	-0.00517935	0.0371434	0.0144473	0.0148665	0.00252831	0.0115998	-0.00141386	0.0220918	0.0187682	0.0182075
0	EG600005	UKR	UKR	-0.00992271	0.0478166	0.00812414	0.0092535	0.009092	0.00565764	-0.00882978	0.0208456	0.0452824	-0.0091557
0	EG600006	UKR	UKR	-0.0168296	0.0479809	0.00578564	-0.00864289	0.000644231	0.0279161	0.0243669	0.0169171	0.0155764	-0.0144627
0	EG600007	UKR	UKR	-0.00375153	0.0484365	0.000843567	0.00221596	0.00170171	-0.00706493	0.00844609	0.0226635	0.014706	-0.0902127
0	EG600008	UKR	UKR	-0.00506958	0.0389921	0.00552635	0.0267204	-0.000171467	0.0165756	0.0168455	-0.0054955	0.0123738	0.0289545
0	EG600009	UKR	UKR	-0.00534014	0.0435129	0.0184759	-0.0101107	-0.00582357	0.0051843	0.010015	0.0380142	0.0241804	-0.00139174
0	EG600010	UKR	UKR	-0.00513892	0.0434971	0.0128379	0.0141498	-0.00781539	0.00963676	0.00223579	-0.0117261	0.0059476	0.00393007
0	EG600011	UKR	UKR	-0.00410305	0.0375145	0.00975675	0.0102009	-0.0121619	0.0116141	0.0142062	-0.0120953	-0.00914028	-0.00413246
0	EG600012	UKR	UKR	-0.0116369	0.037327	0.0229567	-0.0110529	-0.00746795	0.0134978	0.0268897	0.0218388	-0.0145774	-0.003338
0	EG600013	UKR	UKR	-0.0181232	0.0437446	0.00696775	-0.0131721	0.0107037	0.001785	-0.0113081	-0.00632766	-0.0225218	0.0130396
